,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26085,30,96000,MORTGAGE,11.0,EDUCATION,A,7000,6.03,0,0.07,N,10
15045,26,25000,OWN,1.0,EDUCATION,B,5000,9.88,0,0.2,N,3
20059,31,20400,RENT,0.0,MEDICAL,C,3900,14.79,0,0.19,Y,6
3861,25,35500,RENT,5.0,MEDICAL,B,4000,10.99,0,0.11,N,3
30877,42,32000,RENT,5.0,PERSONAL,B,10000,11.71,1,0.31,N,11
11331,21,67400,MORTGAGE,2.0,VENTURE,E,20000,17.74,1,0.3,Y,2
9499,26,84000,RENT,0.0,HOMEIMPROVEMENT,C,8000,12.61,1,0.1,N,4
4314,24,22392,RENT,,MEDICAL,B,4650,9.99,0,0.21,N,4
16014,23,90000,RENT,0.0,EDUCATION,A,12000,8.9,0,0.13,N,2
11306,26,73000,MORTGAGE,5.0,MEDICAL,C,14400,13.61,0,0.2,N,4
29962,49,42000,MORTGAGE,15.0,EDUCATION,B,16750,10.99,0,0.4,N,12
17274,23,53352,RENT,3.0,MEDICAL,A,17500,6.54,1,0.33,N,4
31659,37,120000,MORTGAGE,5.0,PERSONAL,A,5400,5.99,0,0.04,N,17
31435,37,65000,RENT,2.0,EDUCATION,C,13000,12.99,0,0.2,Y,12
24153,27,42000,RENT,1.0,EDUCATION,A,10000,,0,0.24,N,8
30245,43,50000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,5000,10.0,0,0.1,N,16
10595,24,69000,MORTGAGE,3.0,PERSONAL,B,11000,10.62,0,0.16,N,3
28851,33,44000,RENT,3.0,MEDICAL,B,2725,12.18,1,0.06,N,6
7888,24,55000,OWN,4.0,VENTURE,D,9000,16.49,0,0.16,Y,2
11601,24,70000,RENT,0.0,EDUCATION,A,10000,7.29,0,0.14,N,4
7560,23,54000,MORTGAGE,7.0,EDUCATION,B,4800,12.42,0,0.09,N,2
23849,31,66000,MORTGAGE,15.0,PERSONAL,A,10000,,0,0.15,N,5
30427,43,55000,MORTGAGE,14.0,VENTURE,A,10000,6.03,0,0.18,N,17
22808,34,26400,RENT,0.0,DEBTCONSOLIDATION,C,7750,12.87,0,0.29,Y,5
10127,23,65000,MORTGAGE,7.0,EDUCATION,B,5125,10.71,0,0.08,N,4
4378,21,27000,RENT,,DEBTCONSOLIDATION,C,4800,13.49,0,0.18,N,4
20759,27,40000,RENT,1.0,MEDICAL,B,5000,11.99,0,0.13,N,9
13969,23,99500,MORTGAGE,7.0,EDUCATION,D,25000,15.7,0,0.25,N,2
30781,36,48960,RENT,17.0,EDUCATION,B,9000,10.99,0,0.18,N,12
2520,21,19200,RENT,0.0,PERSONAL,B,3000,10.99,1,0.16,N,2
2360,22,34000,RENT,2.0,HOMEIMPROVEMENT,C,2500,13.57,1,0.07,Y,3
21386,28,48000,MORTGAGE,,DEBTCONSOLIDATION,C,5000,14.65,0,0.1,Y,7
4129,24,16800,RENT,,DEBTCONSOLIDATION,B,4375,9.99,1,0.26,N,2
30080,43,71015,RENT,8.0,VENTURE,B,5000,11.14,0,0.07,N,14
11398,22,74263,MORTGAGE,3.0,MEDICAL,B,11500,9.99,0,0.15,N,3
12525,25,82000,MORTGAGE,2.0,HOMEIMPROVEMENT,E,10000,14.93,0,0.12,N,3
18151,31,170000,MORTGAGE,15.0,PERSONAL,C,10000,13.49,0,0.06,Y,8
23419,27,62400,MORTGAGE,12.0,DEBTCONSOLIDATION,A,12000,5.42,0,0.19,N,8
6186,23,48000,MORTGAGE,3.0,VENTURE,B,12000,11.36,0,0.25,N,3
27941,30,110000,OWN,14.0,PERSONAL,C,12000,13.57,0,0.11,Y,10
8509,23,33000,RENT,0.0,PERSONAL,B,7800,10.95,1,0.24,N,2
20890,29,64000,RENT,3.0,DEBTCONSOLIDATION,D,9000,,1,0.14,Y,6
9723,24,63996,MORTGAGE,8.0,MEDICAL,A,14400,9.63,0,0.23,N,4
11730,22,80000,RENT,5.0,EDUCATION,C,10000,14.27,0,0.13,N,2
15016,26,120000,MORTGAGE,3.0,PERSONAL,A,4600,6.39,0,0.04,N,2
18609,33,140000,RENT,2.0,DEBTCONSOLIDATION,C,18000,,0,0.13,N,9
22535,30,70000,RENT,3.0,DEBTCONSOLIDATION,C,7200,,0,0.1,Y,10
2911,22,78000,RENT,7.0,PERSONAL,A,3000,6.99,0,0.04,N,4
22871,30,59000,MORTGAGE,0.0,MEDICAL,A,10000,7.51,0,0.17,N,8
18536,30,60000,RENT,14.0,MEDICAL,C,18500,12.99,1,0.31,N,5
24449,29,72396,MORTGAGE,9.0,PERSONAL,B,9000,10.59,0,0.12,N,9
14996,25,25000,OWN,,EDUCATION,A,8500,6.03,0,0.34,N,2
12470,25,45000,RENT,9.0,DEBTCONSOLIDATION,B,12000,9.62,0,0.27,N,3
25994,31,95000,MORTGAGE,,HOMEIMPROVEMENT,A,5000,6.03,0,0.05,N,5
11454,22,45000,RENT,6.0,PERSONAL,A,4000,7.9,0,0.09,N,2
12108,25,42000,RENT,9.0,VENTURE,C,11500,13.79,0,0.27,Y,3
2233,21,31000,MORTGAGE,5.0,EDUCATION,A,7500,5.42,0,0.24,N,4
10325,22,66996,MORTGAGE,6.0,EDUCATION,B,6000,10.37,0,0.09,N,3
10078,23,65000,MORTGAGE,4.0,EDUCATION,A,7500,8.59,0,0.12,N,3
9449,26,80000,RENT,0.0,MEDICAL,C,8000,12.73,0,0.1,Y,3
9979,23,43200,RENT,2.0,VENTURE,D,9100,13.24,1,0.21,N,2
3575,23,54804,RENT,4.0,EDUCATION,D,3600,16.77,0,0.07,Y,4
12497,25,47000,RENT,2.0,MEDICAL,C,12000,15.96,0,0.26,Y,2
6062,24,35020,RENT,0.0,MEDICAL,A,5800,8.32,0,0.17,N,3
14580,25,39000,RENT,3.0,HOMEIMPROVEMENT,A,2000,7.66,1,0.05,N,4
19145,27,30000,RENT,4.0,MEDICAL,D,2400,17.49,1,0.08,Y,10
11242,22,53000,RENT,3.0,MEDICAL,B,10000,9.99,0,0.19,N,4
7216,24,12624,RENT,,VENTURE,C,6300,13.85,1,0.5,N,3
17225,21,41000,RENT,5.0,VENTURE,A,7000,5.79,0,0.17,N,2
2122,23,30000,MORTGAGE,5.0,MEDICAL,A,1000,7.4,0,0.03,N,2
3301,23,36000,OWN,1.0,VENTURE,A,1800,6.54,0,0.05,N,4
30008,36,43776,MORTGAGE,,DEBTCONSOLIDATION,A,6000,7.88,0,0.14,N,15
11445,22,69000,MORTGAGE,6.0,PERSONAL,B,15000,10.65,1,0.22,N,4
7062,24,51000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8500,8.94,0,0.17,N,3
22583,28,44995,RENT,2.0,EDUCATION,A,7350,7.49,0,0.16,N,10
12456,22,81500,MORTGAGE,0.0,EDUCATION,A,7575,6.54,0,0.09,N,3
11377,25,74000,MORTGAGE,1.0,EDUCATION,A,10000,,0,0.14,N,3
2229,24,72000,RENT,3.0,HOMEIMPROVEMENT,A,13200,7.29,0,0.18,N,3
23040,32,45000,RENT,0.0,MEDICAL,A,8000,,0,0.18,N,5
10737,23,70000,MORTGAGE,7.0,EDUCATION,B,16000,,0,0.23,N,4
12481,26,45806,RENT,5.0,EDUCATION,D,12000,14.84,0,0.26,N,3
13709,25,95000,MORTGAGE,0.0,VENTURE,A,4000,8.0,0,0.04,N,4
7769,24,36000,RENT,1.0,MEDICAL,A,7000,6.03,0,0.19,N,3
6750,25,50000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,5000,11.36,0,0.1,N,2
21370,30,47600,MORTGAGE,6.0,EDUCATION,B,23800,12.42,0,0.5,N,9
1190,23,54996,RENT,4.0,EDUCATION,B,16700,10.37,0,0.3,N,3
30348,38,52000,OWN,3.0,PERSONAL,D,8000,15.21,0,0.15,N,13
2232,25,31000,OWN,8.0,PERSONAL,A,12000,,0,0.39,N,3
9279,24,60500,MORTGAGE,8.0,EDUCATION,A,6000,7.68,0,0.1,N,4
21032,27,45000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,5400,12.99,0,0.12,N,7
152,22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4
10679,23,38000,RENT,7.0,VENTURE,A,10000,7.51,0,0.26,N,4
3376,22,46000,RENT,3.0,EDUCATION,B,11000,10.59,0,0.24,N,3
15282,23,129600,OWN,7.0,PERSONAL,A,13500,5.42,0,0.1,N,2
13379,22,31200,RENT,0.0,DEBTCONSOLIDATION,A,2700,6.91,0,0.09,N,4
3624,23,120000,RENT,3.0,VENTURE,A,3725,8.49,0,0.03,N,2
4174,24,18200,RENT,8.0,EDUCATION,A,4500,8.94,1,0.25,N,2
11327,26,57000,RENT,2.0,VENTURE,A,10000,7.9,0,0.18,N,4
18238,31,59712,RENT,0.0,DEBTCONSOLIDATION,E,24000,17.43,1,0.4,N,9
16931,23,11000,OWN,0.0,VENTURE,A,1400,9.32,0,0.13,N,4
7099,22,60500,RENT,3.0,DEBTCONSOLIDATION,C,7000,12.84,0,0.12,N,2
5943,23,36000,RENT,1.0,MEDICAL,A,5600,7.9,0,0.16,N,4
32161,40,73000,RENT,2.0,PERSONAL,D,9975,16.29,1,0.14,Y,17
3616,21,27996,RENT,5.0,EDUCATION,A,3700,8.0,0,0.13,N,3
11856,25,76800,MORTGAGE,5.0,PERSONAL,C,20000,,0,0.26,Y,2
25529,28,85100,MORTGAGE,12.0,EDUCATION,A,8000,7.51,0,0.09,N,8
497,22,57000,RENT,6.0,EDUCATION,B,22000,9.63,1,0.39,N,3
10423,22,27376,RENT,0.0,EDUCATION,C,10000,10.28,1,0.37,N,3
19726,28,35496,MORTGAGE,5.0,DEBTCONSOLIDATION,B,5500,11.49,0,0.15,N,5
17489,23,33000,RENT,4.0,EDUCATION,C,8000,,0,0.24,N,3
22512,29,43108,RENT,7.0,VENTURE,A,7200,6.03,0,0.17,N,7
22545,32,55600,OWN,14.0,EDUCATION,B,8800,9.99,0,0.16,N,6
6548,23,41500,RENT,3.0,EDUCATION,E,6000,16.7,1,0.14,N,2
12560,22,83000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5500,11.99,0,0.07,N,4
30302,40,80000,RENT,0.0,MEDICAL,A,6000,8.94,0,0.07,N,11
21357,32,11688,RENT,,PERSONAL,C,5600,13.48,1,0.48,Y,10
3300,22,31000,RENT,4.0,VENTURE,B,3600,12.69,0,0.12,N,3
27993,31,120000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,28000,8.9,0,0.23,N,6
24419,27,51000,RENT,0.0,VENTURE,A,10000,7.88,0,0.2,N,5
6205,24,48000,MORTGAGE,8.0,EDUCATION,A,3100,8.94,0,0.06,N,3
4124,25,40000,MORTGAGE,0.0,MEDICAL,A,3600,7.49,0,0.09,N,3
2690,22,48609,RENT,6.0,DEBTCONSOLIDATION,A,12000,7.49,0,0.25,N,3
7874,25,55000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,24200,8.49,0,0.44,N,3
9631,22,63000,MORTGAGE,6.0,EDUCATION,A,4500,5.42,0,0.07,N,2
24884,30,78000,MORTGAGE,1.0,VENTURE,C,26000,15.96,0,0.33,Y,5
6314,23,29000,RENT,5.0,EDUCATION,A,6000,7.88,1,0.21,N,3
10730,22,64000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,14400,11.71,1,0.23,N,2
20053,31,38000,OWN,15.0,VENTURE,B,10400,11.49,0,0.27,N,10
21071,28,45000,MORTGAGE,2.0,EDUCATION,A,3000,5.79,0,0.07,N,8
9909,23,46200,RENT,5.0,PERSONAL,B,9000,9.99,0,0.19,N,3
30847,39,67000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,15000,10.37,0,0.22,N,15
14710,25,100000,MORTGAGE,4.0,EDUCATION,B,9000,9.64,1,0.09,N,3
17526,22,107000,MORTGAGE,6.0,HOMEIMPROVEMENT,E,24000,19.69,1,0.22,Y,4
32206,40,66000,OWN,25.0,PERSONAL,C,6125,14.65,0,0.09,N,13
17938,27,12000,OWN,0.0,EDUCATION,D,8125,14.42,1,0.68,Y,5
17248,23,100000,RENT,1.0,EDUCATION,C,12000,13.57,0,0.12,Y,2
11024,22,55250,MORTGAGE,2.0,MEDICAL,D,7400,14.84,1,0.11,N,2
25043,28,25000,RENT,1.0,MEDICAL,B,12000,9.83,1,0.48,N,9
21450,34,46000,RENT,1.0,PERSONAL,B,5850,11.12,0,0.13,N,8
21803,31,50000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,12000,7.88,0,0.24,N,6
26068,27,95004,MORTGAGE,1.0,PERSONAL,A,15000,7.51,0,0.16,N,9
6346,22,36000,RENT,6.0,EDUCATION,B,6000,10.0,0,0.17,N,3
9812,25,64800,MORTGAGE,9.0,EDUCATION,B,4500,10.65,0,0.07,N,2
11589,22,70000,RENT,4.0,EDUCATION,B,10000,12.69,0,0.14,N,4
14659,25,110004,MORTGAGE,9.0,HOMEIMPROVEMENT,A,15000,7.66,0,0.14,N,4
23586,29,58800,MORTGAGE,7.0,DEBTCONSOLIDATION,B,5000,11.71,1,0.09,N,6
28836,27,69000,MORTGAGE,3.0,EDUCATION,B,4000,11.49,1,0.06,N,8
23980,34,68000,MORTGAGE,1.0,EDUCATION,C,15000,11.78,0,0.22,N,5
20640,28,42100,RENT,0.0,PERSONAL,B,4925,11.49,0,0.12,N,7
32391,53,88000,RENT,0.0,EDUCATION,A,5000,8.49,0,0.06,N,25
1810,22,24702,RENT,,EDUCATION,C,2000,13.23,0,0.08,Y,4
8072,25,52000,RENT,3.0,EDUCATION,B,7200,12.69,0,0.14,N,3
6737,23,50000,MORTGAGE,2.0,PERSONAL,B,4000,11.86,0,0.08,N,3
1561,21,30000,RENT,0.0,DEBTCONSOLIDATION,C,1500,13.92,0,0.05,N,2
23384,29,85000,RENT,12.0,PERSONAL,B,8000,10.62,0,0.09,N,8
17326,24,72000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,8000,12.21,0,0.11,N,3
21752,30,50000,MORTGAGE,14.0,MEDICAL,C,1000,,0,0.02,N,6
29377,40,85000,RENT,5.0,HOMEIMPROVEMENT,B,18000,11.48,0,0.21,N,13
1667,23,28800,RENT,1.0,PERSONAL,D,1675,15.21,1,0.06,Y,2
8498,23,29000,RENT,6.0,MEDICAL,D,7750,14.59,1,0.27,Y,3
6219,21,48000,MORTGAGE,5.0,EDUCATION,C,10800,12.84,0,0.23,N,2
7526,25,29120,RENT,0.0,HOMEIMPROVEMENT,D,6400,16.29,1,0.22,N,2
6022,24,25000,RENT,0.0,DEBTCONSOLIDATION,C,5625,12.68,0,0.23,N,4
24463,31,54996,RENT,3.0,HOMEIMPROVEMENT,A,10000,7.74,0,0.18,N,9
867,25,175000,RENT,3.0,DEBTCONSOLIDATION,C,20000,14.72,0,0.11,Y,2
9218,24,60000,MORTGAGE,0.0,PERSONAL,B,15000,11.89,0,0.25,N,2
17211,24,39996,RENT,0.0,EDUCATION,D,5000,14.11,1,0.13,N,2
20923,27,112440,RENT,9.0,DEBTCONSOLIDATION,A,9000,,0,0.08,N,7
8604,23,59000,MORTGAGE,0.0,EDUCATION,B,21600,11.89,0,0.37,N,2
17894,31,300000,MORTGAGE,1.0,VENTURE,D,25000,14.83,0,0.08,N,9
9395,24,70000,RENT,2.0,EDUCATION,C,8000,14.72,0,0.11,Y,3
3244,23,64000,RENT,7.0,DEBTCONSOLIDATION,C,3500,14.72,1,0.05,Y,2
31871,38,100000,RENT,2.0,HOMEIMPROVEMENT,A,16000,,0,0.16,N,11
7273,22,20000,RENT,1.0,DEBTCONSOLIDATION,B,6500,10.99,1,0.33,N,2
17882,28,105500,RENT,1.0,DEBTCONSOLIDATION,A,31000,8.49,0,0.29,N,9
4384,25,34000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,3000,10.51,1,0.09,N,3
20153,27,33000,RENT,7.0,EDUCATION,A,4000,6.76,0,0.12,N,9
11235,23,52000,RENT,7.0,VENTURE,A,10000,6.54,0,0.19,N,2
1030,24,72000,RENT,4.0,VENTURE,A,18000,7.88,0,0.25,N,2
19266,27,26400,RENT,3.0,VENTURE,C,2500,13.23,0,0.09,Y,10
5396,24,45000,MORTGAGE,8.0,MEDICAL,A,5000,5.79,0,0.11,N,3
26587,35,106800,MORTGAGE,,DEBTCONSOLIDATION,A,8000,6.92,0,0.07,N,9
24683,27,70000,RENT,2.0,EDUCATION,B,10000,10.99,0,0.14,N,6
15120,25,122000,MORTGAGE,8.0,PERSONAL,C,10000,13.57,0,0.08,N,4
16240,26,220836,MORTGAGE,10.0,PERSONAL,B,9000,11.26,0,0.04,N,2
22989,29,54000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,7500,7.49,1,0.14,N,9
5005,22,45000,RENT,3.0,VENTURE,B,5000,12.42,0,0.11,N,2
19250,27,47000,RENT,1.0,MEDICAL,B,13000,10.99,0,0.28,N,5
15298,26,130000,MORTGAGE,2.0,MEDICAL,A,18000,7.9,0,0.14,N,2
993,22,52000,RENT,1.0,VENTURE,C,18000,13.85,1,0.35,Y,4
13371,25,78000,MORTGAGE,7.0,VENTURE,C,9000,11.78,1,0.12,Y,2
17298,25,20000,MORTGAGE,1.0,VENTURE,A,4000,5.79,0,0.2,N,4
5467,24,45000,MORTGAGE,4.0,MEDICAL,A,1500,,0,0.03,N,2
21921,28,50343,OWN,11.0,HOMEIMPROVEMENT,A,22000,7.49,0,0.44,N,5
24390,29,72000,MORTGAGE,5.0,PERSONAL,A,10000,6.17,0,0.14,N,10
8155,24,56000,MORTGAGE,3.0,EDUCATION,A,15000,8.49,0,0.27,N,2
16487,25,45000,RENT,0.0,EDUCATION,B,5000,10.74,0,0.11,N,4
10462,22,68000,MORTGAGE,6.0,PERSONAL,A,10000,7.49,0,0.15,N,2
20446,29,40000,MORTGAGE,9.0,EDUCATION,C,1400,14.26,0,0.04,Y,5
4661,21,42000,OWN,5.0,EDUCATION,D,5000,17.49,0,0.12,N,2
31404,41,92000,MORTGAGE,15.0,MEDICAL,A,12000,7.66,0,0.13,N,15
8169,23,42000,RENT,1.0,VENTURE,B,7325,12.69,0,0.17,N,3
20286,32,72000,RENT,6.0,HOMEIMPROVEMENT,B,4000,10.0,0,0.06,N,6
23029,33,44000,RENT,5.0,VENTURE,D,8000,17.49,0,0.18,N,8
28347,35,20000,RENT,1.0,MEDICAL,B,5500,12.69,0,0.28,N,9
23810,33,48000,RENT,5.0,MEDICAL,D,9600,16.29,0,0.2,Y,7
28909,31,16656,MORTGAGE,,EDUCATION,C,2400,14.72,1,0.14,Y,5
24302,28,71000,MORTGAGE,1.0,VENTURE,B,9800,12.21,0,0.14,N,5
28793,35,24960,RENT,6.0,VENTURE,A,1400,8.49,0,0.06,N,7
696,26,65004,RENT,7.0,DEBTCONSOLIDATION,B,20000,11.99,1,0.31,N,2
27976,32,31000,RENT,0.0,EDUCATION,B,5000,11.49,1,0.16,N,8
17147,25,70200,RENT,9.0,PERSONAL,E,18000,16.45,0,0.26,Y,3
5907,22,47004,RENT,2.0,VENTURE,A,5550,7.49,0,0.12,N,4
2682,24,51684,RENT,8.0,PERSONAL,B,3000,10.59,0,0.06,N,2
8842,22,60000,MORTGAGE,2.0,MEDICAL,A,10000,,0,0.17,N,2
23500,28,63000,MORTGAGE,0.0,EDUCATION,D,5000,13.67,0,0.08,Y,7
7439,21,53000,MORTGAGE,5.0,VENTURE,C,18000,13.8,0,0.34,Y,3
10480,23,30000,RENT,3.0,PERSONAL,B,10000,11.14,1,0.33,N,2
1240,24,44000,RENT,8.0,MEDICAL,A,16000,7.49,1,0.36,N,2
11679,26,75000,RENT,4.0,EDUCATION,A,10000,7.49,0,0.13,N,4
6096,24,48000,MORTGAGE,7.0,MEDICAL,A,12000,7.29,0,0.25,N,3
7776,25,30000,RENT,0.0,EDUCATION,E,7000,,1,0.23,Y,2
31098,43,76000,MORTGAGE,4.0,HOMEIMPROVEMENT,D,9150,16.29,0,0.12,Y,16
6790,26,24000,RENT,2.0,PERSONAL,C,7000,12.99,0,0.29,N,3
31971,37,48000,RENT,3.0,MEDICAL,D,7500,16.29,0,0.16,Y,12
29830,40,51000,RENT,1.0,MEDICAL,B,4000,11.12,0,0.08,N,14
15324,24,130000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,10.74,0,0.19,N,3
10961,22,30000,RENT,2.0,VENTURE,D,4200,15.31,1,0.14,Y,2
4197,23,26000,RENT,3.0,MEDICAL,A,4500,8.49,1,0.17,N,2
15051,22,25000,OWN,6.0,VENTURE,A,13000,7.88,0,0.52,N,3
11689,24,75000,OTHER,5.0,HOMEIMPROVEMENT,C,12000,14.26,0,0.16,Y,3
6550,24,41628,RENT,6.0,DEBTCONSOLIDATION,C,6000,11.28,1,0.14,Y,2
24230,29,70000,OTHER,1.0,PERSONAL,B,5000,11.14,0,0.07,N,6
12626,25,84000,MORTGAGE,9.0,VENTURE,B,5000,10.99,0,0.06,N,2
13097,23,88000,MORTGAGE,7.0,MEDICAL,C,18150,12.68,0,0.21,N,2
20307,30,96000,RENT,1.0,VENTURE,B,4000,10.75,0,0.04,N,5
19091,29,17004,RENT,8.0,HOMEIMPROVEMENT,A,2200,9.32,1,0.13,N,5
6757,22,30500,RENT,0.0,EDUCATION,A,7025,6.54,1,0.23,N,4
10485,22,68000,MORTGAGE,6.0,MEDICAL,A,13000,7.88,0,0.19,N,2
27639,28,50000,RENT,2.0,EDUCATION,B,15200,10.25,0,0.3,N,10
31289,47,85000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5500,6.76,0,0.06,N,12
728,22,69000,RENT,6.0,DEBTCONSOLIDATION,B,20000,10.99,1,0.29,N,4
848,24,121000,RENT,8.0,VENTURE,A,20000,8.9,0,0.17,N,3
1930,24,57996,RENT,8.0,MEDICAL,D,2000,15.37,1,0.03,N,4
16241,21,19200,OWN,0.0,MEDICAL,B,2400,9.91,0,0.13,N,4
30971,36,72000,MORTGAGE,8.0,MEDICAL,A,3500,6.99,0,0.05,N,13
15105,25,14400,RENT,0.0,VENTURE,C,1500,12.99,1,0.1,Y,2
3184,21,42000,RENT,5.0,DEBTCONSOLIDATION,B,3500,10.37,0,0.08,N,4
17434,23,75000,OWN,5.0,MEDICAL,D,12500,15.33,0,0.17,Y,3
11292,23,55000,RENT,0.0,EDUCATION,B,10000,10.59,0,0.18,N,2
25637,29,76000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,20000,,1,0.26,Y,8
31023,37,60000,RENT,7.0,HOMEIMPROVEMENT,A,10000,7.51,0,0.17,N,11
21171,29,45324,MORTGAGE,4.0,PERSONAL,D,15150,14.54,0,0.33,N,10
10545,22,68500,MORTGAGE,3.0,PERSONAL,B,12000,,0,0.18,N,4
31195,38,80000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,4000,12.98,0,0.05,Y,13
25175,32,40000,RENT,3.0,DEBTCONSOLIDATION,B,12000,11.89,0,0.3,N,10
4719,24,28000,RENT,0.0,MEDICAL,A,5000,7.68,0,0.18,N,3
26640,27,97000,MORTGAGE,4.0,PERSONAL,C,8275,10.59,1,0.09,Y,5
2934,26,35000,OWN,1.0,VENTURE,B,5600,11.11,0,0.16,N,4
1883,22,33996,RENT,1.0,EDUCATION,D,14900,15.37,1,0.44,Y,2
26807,28,27504,OWN,4.0,PERSONAL,B,2000,11.12,0,0.07,N,8
23965,33,30000,RENT,11.0,MEDICAL,C,10000,11.03,1,0.33,N,6
27586,29,150000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,12000,10.62,0,0.08,N,9
25946,29,93000,MORTGAGE,9.0,PERSONAL,E,20000,16.82,0,0.22,N,8
23623,29,65000,MORTGAGE,2.0,MEDICAL,A,4800,,0,0.07,N,5
15320,23,60480,RENT,7.0,EDUCATION,B,15000,10.83,0,0.25,N,2
3135,23,26000,RENT,0.0,DEBTCONSOLIDATION,A,3500,6.91,0,0.13,N,3
28356,32,19200,RENT,0.0,VENTURE,B,5000,9.99,1,0.26,N,6
6789,22,24000,RENT,6.0,VENTURE,B,7000,12.42,0,0.29,N,2
21220,32,100000,RENT,3.0,HOMEIMPROVEMENT,C,5000,,0,0.05,N,6
25827,28,78000,MORTGAGE,11.0,DEBTCONSOLIDATION,E,12000,16.95,1,0.15,Y,7
5343,26,40500,RENT,,DEBTCONSOLIDATION,A,8500,7.88,0,0.21,N,2
31758,38,71000,RENT,14.0,MEDICAL,B,15000,8.88,0,0.21,N,15
910,26,62004,RENT,5.0,MEDICAL,A,19000,7.49,1,0.31,N,2
23592,29,30000,RENT,7.0,HOMEIMPROVEMENT,A,9000,6.91,1,0.3,N,8
20150,33,32004,RENT,3.0,DEBTCONSOLIDATION,A,4000,8.32,0,0.12,N,7
13990,23,100000,MORTGAGE,7.0,MEDICAL,B,25000,11.71,0,0.25,N,3
30368,42,52400,MORTGAGE,14.0,HOMEIMPROVEMENT,B,21000,10.38,0,0.4,N,13
27409,28,139913,MORTGAGE,7.0,HOMEIMPROVEMENT,A,5375,8.94,0,0.04,N,6
14226,26,102000,MORTGAGE,5.0,PERSONAL,A,13000,5.42,0,0.13,N,3
19189,35,10800,RENT,,EDUCATION,D,2500,14.84,1,0.23,N,5
10020,24,65000,OWN,6.0,EDUCATION,A,3500,6.76,0,0.05,N,4
12871,22,85000,MORTGAGE,0.0,VENTURE,B,12000,,0,0.14,N,3
21661,28,43150,RENT,3.0,VENTURE,B,6000,9.99,0,0.14,N,9
28991,27,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4000,,0,0.08,N,6
16126,25,30720,RENT,6.0,MEDICAL,B,10000,10.37,1,0.33,N,3
2779,24,56000,RENT,0.0,VENTURE,C,12000,14.26,0,0.21,Y,2
28369,32,84996,MORTGAGE,4.0,PERSONAL,A,9000,9.32,0,0.11,N,10
23034,31,54000,MORTGAGE,12.0,MEDICAL,A,15000,8.49,1,0.28,N,6
13026,25,87000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7000,7.51,0,0.08,N,4
21905,33,80000,RENT,10.0,DEBTCONSOLIDATION,A,6000,8.49,0,0.07,N,6
16185,23,89000,RENT,7.0,EDUCATION,C,7000,,0,0.08,Y,3
7112,22,51600,MORTGAGE,6.0,EDUCATION,B,4200,10.59,0,0.08,N,3
12532,23,54000,RENT,0.0,DEBTCONSOLIDATION,B,12000,12.42,1,0.22,N,2
20251,27,52600,RENT,3.0,VENTURE,E,4000,17.39,0,0.08,Y,7
11203,22,45000,RENT,6.0,HOMEIMPROVEMENT,C,10000,15.96,1,0.22,N,2
30536,37,780000,RENT,9.0,HOMEIMPROVEMENT,B,7500,12.18,0,0.01,N,15
6827,26,44000,MORTGAGE,8.0,MEDICAL,G,12000,18.84,1,0.27,Y,3
16358,22,24000,RENT,0.0,PERSONAL,E,1500,18.79,1,0.06,Y,4
19835,35,33996,RENT,2.0,MEDICAL,D,3600,16.32,1,0.11,N,5
8441,25,125000,RENT,3.0,HOMEIMPROVEMENT,B,7500,12.69,0,0.06,N,4
26344,30,100000,MORTGAGE,14.0,EDUCATION,A,13000,7.88,0,0.13,N,9
32332,51,45000,RENT,1.0,DEBTCONSOLIDATION,A,16000,7.9,1,0.36,N,19
26036,27,64000,RENT,2.0,HOMEIMPROVEMENT,C,13000,13.11,0,0.2,N,10
25234,28,81996,MORTGAGE,12.0,EDUCATION,B,3000,12.42,0,0.04,N,5
9448,22,62000,MORTGAGE,6.0,EDUCATION,A,1500,6.91,0,0.02,N,2
18392,34,72000,RENT,2.0,VENTURE,B,20000,11.89,0,0.28,N,10
21829,30,50000,MORTGAGE,3.0,PERSONAL,B,5000,,0,0.1,N,5
